,Processor,Prompt,Model,Tool,F1,Accuracy,Support,total,TP,FP,TN,FN
0,defaultpatch,llm4cc-clone_type-patch,gemini-flash,Arja,0.9607843137254902,0.9298245614035088,1.0,57,49,4,4,0
1,defaultpatch,llm4cc-clone_type-patch,gemini-flash,Jaid,0.8048780487804879,0.7142857142857143,1.0,56,33,10,7,6
2,defaultpatch,llm4cc-clone_type-patch,gemini-flash,TBar,0.90625,0.85,1.0,40,29,2,5,4
3,defaultpatch,llm4cc-clone_type-patch,gemini-flash,FixMiner,0.9,0.84,1.0,25,18,3,3,1
4,defaultpatch,llm4cc-clone_type-patch,gemini-flash,jKali,0.9206349206349206,0.8571428571428571,1.0,35,29,3,1,2
5,defaultpatch,llm4cc-clone_type-patch,gemini-flash,Nopol,1.0,1.0,1.0,50,50,0,0,0
6,defaultpatch,llm4cc-clone_type-patch,gemini-flash,HDRepair,0.8888888888888888,0.875,1.0,8,4,1,3,0
7,defaultpatch,llm4cc-clone_type-patch,gemini-flash,ACS,0.5185185185185185,0.6388888888888888,1.0,36,7,12,16,1
8,defaultpatch,llm4cc-clone_type-patch,gemini-flash,jGenProg,0.9428571428571428,0.8918918918918919,1.0,37,33,4,0,0
9,defaultpatch,llm4cc-clone_type-patch,gemini-flash,SketchFix,0.7692307692307693,0.75,1.0,12,5,1,4,2
10,defaultpatch,llm4cc-clone_type-patch,gemini-flash,SimFix,0.8791208791208791,0.8103448275862069,0.9827586206896551,58,40,9,7,2
11,defaultpatch,llm4cc-clone_type-patch,gemini-flash,AVATAR,0.8888888888888888,0.8333333333333334,1.0,54,36,8,9,1
12,defaultpatch,llm4cc-clone_type-patch,gemini-flash,GenProg,1.0,1.0,1.0,25,24,0,1,0
13,defaultpatch,llm4cc-clone_type-patch,gemini-flash,kPAR,0.9375,0.8823529411764706,1.0,34,30,2,0,2
14,defaultpatch,llm4cc-clone_type-patch,gemini-flash,Cardumen,1.0,1.0,1.0,9,9,0,0,0
15,defaultpatch,llm4cc-clone_type-patch,gemini-flash,SequenceR,0.8125,0.7272727272727273,1.0,44,26,2,6,10
16,defaultpatch,llm4cc-clone_type-patch,gemini-flash,Kali,0.9863013698630136,0.9736842105263158,1.0,38,36,1,1,0
17,defaultpatch,llm4cc-clone_type-patch,gemini-flash,DynaMoth,0.9767441860465116,0.9545454545454546,1.0,22,21,1,0,0
18,defaultpatch,llm4cc-clone_type-patch,gemini-flash,SOFix,0.2222222222222222,0.36363636363636365,1.0,11,1,7,3,0
19,defaultpatch,llm4cc-clone_type-patch,gemini-flash,CapGen,1.0,1.0,1.0,48,41,0,7,0
20,defaultpatch,llm4cc-clone_type-patch,gemini-flash,jMutRepair,0.9655172413793104,0.9375,1.0,16,14,1,1,0
21,defaultpatch,llm4cc-clone_type-patch,gemini-flash,RSRepair,0.9841269841269841,0.9696969696969697,1.0,33,31,1,1,0
